Symbol,Security Name,Sector,Industry,Country,Market Cap
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,Utilities,Electric Utilities: Central,Canada,4264390449.0
BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,Utilities,Electric Utilities: Central,Canada,4505608495.0
BEPJ,Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes,Utilities,Electric Utilities: Central,Canada,6970914354.0
BETA,Beta Technologies Inc. Class A Common Stock,Industrials,Aerospace,United States,4070034625.0
BF/A,Brown Forman Corporation,,,United States,
BF/B,Brown Forman Corporation,,,United States,
BFAM,Bright Horizons Family Solutions Inc. Common Stock,Consumer Discretionary,Other Consumer Services,United States,4667574595.0
BFH,Bread Financial Holdings Inc. Common Stock,Real Estate,Real Estate,United States,3469976815.0
BFLY,Butterfly Network Inc. Class A Common Stock,Health Care,Medical Electronics,United States,1292261800.0
BFS,Saul Centers Inc. Common Stock,Real Estate,Real Estate Investment Trusts,United States,825262660.0
BG,Bunge Limited Common Shares,Consumer Staples,Packaged Foods,United States,23309611221.0
BGB,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,United States,0.0
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,Finance,Investment Managers,United States,0.0
BGR,BlackRock Energy and Resources Trust,Finance,Trusts Except Educational Religious and Charitable,United States,2182937723.0
BGS,B&G Foods Inc. Common Stock,Consumer Staples,Packaged Foods,United States,447889710.0
BGSF,BGSF Inc. Common Stock,Consumer Discretionary,Professional Services,United States,69712595.0
BGSI,Boyd Group Services Inc. Common Shares,,,Canada,3436734603.0
BGT,BlackRock Floating Rate Income Trust,Finance,Trusts Except Educational Religious and Charitable,United States,0.0
BGX,Blackstone Long Short Credit Income Fund Common Shares,Finance,Trusts Except Educational Religious and Charitable,,0.0
BGY,Blackrock Enhanced International Dividend Trust,Finance,Trusts Except Educational Religious and Charitable,United States,0.0
BH,Biglari Holdings Inc. Class B Common Stock,Consumer Discretionary,Restaurants,United States,760267493.0
BHC,Bausch Health Companies Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Canada,2158619544.0
BHE,Benchmark Electronics Inc. Common Stock,Technology,Electrical Products,United States,2225801943.0
BHK,Blackrock Core Bond Trust,Finance,Finance Companies,United States,0.0
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Energy,Coal Mining,Australia,202089955273.0
BHR,Braemar Hotels & Resorts Inc. Common Stock,Real Estate,Real Estate Investment Trusts,United States,168957990.0
BHV,BlackRock Virginia Municipal Bond Trust,Finance,Finance/Investors Services,United States,0.0
BHVN,Biohaven Ltd. Common Shares ,Health Care,Biotechnology: Pharmaceutical Preparations,United States,1544819398.0
BIII,Black Spade Acquisition III Co Class A Ordinary Shares,Finance,Blank Checks,,0.0
BILL,BILL Holdings Inc. Common Stock,Technology,EDP Services,United States,3885681677.0
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,United States,7913853425.0
BIO/B,Bio-Rad Laboratories Inc.,,,United States,
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,Consumer Discretionary,Marine Transportation,Bermuda,16964406950.0
BIPC,Brookfield Infrastructure Corporation Brookfield Infrastructure Corporation,Utilities,Oil & Gas Production,Canada,5644305933.0
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,Utilities,Oil & Gas Production,Canada,7584494900.0
BIPI,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes,Consumer Discretionary,Marine Transportation,Bermuda,158453768.0
BIPJ,Brookfield Infrastructure Corporation 7.250% Subordinated Notes due 2084,Utilities,Oil & Gas Production,Canada,11049188129.0
BIRK,Birkenstock Holding plc Ordinary Shares,Consumer Discretionary,Shoe Manufacturing,,6957166098.0
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,United States,0.0
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,United States,11897826949.0
BK,The Bank of New York Mellon Corporation Common Stock,Finance,Major Banks,United States,91623658114.0
BKD,Brookdale Senior Living Inc. Common Stock,Health Care,Hospital/Nursing Management,United States,3336227554.0
BKE,Buckle Inc. (The) Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,United States,2735867957.0
BKH,Black Hills Corporation Common Stock,Utilities,Electric Utilities: Central,United States,5831876466.0
BKKT,Bakkt Inc. Class A Common Stock,Finance,Finance: Consumer Services,United States,274142001.0
BKSY,BlackSky Technology Inc. Class A Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,United States,1276691031.0
BKT,BlackRock Income Trust Inc. (The),Finance,Investment Bankers/Brokers/Service,United States,1588783190.0
BKU,BankUnited Inc. Common Stock,Finance,Savings Institutions,United States,3496539647.0
BKV,BKV Corporation Common Stock,Energy,Oil & Gas Production,United States,2740224173.0
BLCO,Bausch + Lomb Corporation Common Shares,Health Care,Ophthalmic Goods,,6003265369.0
BLD,TopBuild Corp. Common Stock,Consumer Discretionary,Engineering & Construction,United States,10955494577.0
BLDR,Builders FirstSource Inc. Common Stock,Consumer Discretionary,RETAIL: Building Materials,United States,9398464404.0
BLK,BlackRock Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,United States,162202330723.0
BLND,Blend Labs Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,United States,415240294.0
BLSH,Bullish Ordinary Shares,Finance,Finance: Consumer Services,Cayman Islands,6154875418.0
BLW,Blackrock Limited Duration Income Trust,Consumer Discretionary,Other Consumer Services,United States,455675588.0
BLX,Banco Latinoamericano de Comercio Exterior S.A.,Finance,Commercial Banks,Panama,2046309087.0
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),Finance,Commercial Banks,Argentina,5286030660.0
BME,Blackrock Health Sciences Trust,Finance,Trusts Except Educational Religious and Charitable,United States,531987418.0
BMEZ,BlackRock Health Sciences Term Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,United States,194396736.0
BMI,Badger Meter Inc. Common Stock,Industrials,Industrial Machinery/Components,United States,4622073307.0
BMN,BlackRock 2037 Municipal Target Term Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,,0.0
BMNR,BitMine Immersion Technologies Inc. Common Stock,Finance,Finance: Consumer Services,United States,11897725764.0
BMO,Bank Of Montreal Common Stock,Finance,Commercial Banks,Canada,105202247816.0
BMY,Bristol-Myers Squibb Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,118900464222.0
BN,Brookfield Corporation Class A Limited Voting Shares,Real Estate,Building operators,Canada,103981749366.0
BNED,Barnes & Noble Education Inc Common Stock,Consumer Discretionary,Other Specialty Stores,United States,348105608.0
BNH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080,Real Estate,Building operators,Canada,23868425940.0
BNJ,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,Real Estate,Building operators,Canada,23024059640.0
BNL,Broadstone Net Lease Inc. Common Stock,Real Estate,Real Estate Investment Trusts,United States,3849374291.0
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,Finance,Major Banks,Canada,92571838689.0
BNT,Brookfield Wealth Solutions Ltd. Class A Exchangeable Limited Voting Shares,Finance,Property-Casualty Insurers,,15548434219.0
BOBS,Bob's Discount Furniture Inc. Common Stock,Consumer Discretionary,Other Specialty Stores,,1557886367.0
BOC,Boston Omaha Corporation Class A Common Stock,Finance,Real Estate,United States,373457631.0
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,United States,0.0
BOH,Bank of Hawaii Corporation Common Stock,Finance,Major Banks,United States,3105343977.0
BOOT,Boot Barn Holdings Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,United States,4850689825.0
BORR,Borr Drilling Limited Common Shares,Energy,Oil & Gas Production,Bermuda,1726203031.0
BOW,Bowhead Specialty Holdings Inc. Common Stock,Finance,Property-Casualty Insurers,United States,804203477.0
BOX,Box Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,United States,3349095364.0
BP,BP p.l.c. Common Stock,Energy,Integrated oil Companies,United Kingdom,122244640053.0
BPRE,Bluerock Private Real Estate Fund Common Shares of Beneficial Interest,,,,0.0
BR,Broadridge Financial Solutions Inc. Common Stock,Real Estate,Real Estate,United States,19087247415.0
BRBR,BellRing Brands Inc. Common Stock ,Consumer Staples,Packaged Foods,United States,1902698011.0
BRC,Brady Corporation Common Stock,Consumer Discretionary,Miscellaneous manufacturing industries,United States,3911898470.0
BRK/A,Berkshire Hathaway Inc.,,,United States,1048379490347.0
BRK/B,Berkshire Hathaway Inc.,,,United States,1047799333202.0
BRO,Brown & Brown Inc. Common Stock,Finance,Specialty Insurers,United States,23229244256.0
BROS,Dutch Bros Inc. Class A Common Stock,Consumer Discretionary,Restaurants,United States,8623939972.0
BRSL,Brightstar Lottery PLC Trading under the Legal Name to begin at the market open on July 21 2025. Ordinary Shares,Consumer Discretionary,Services-Misc. Amusement & Recreation,United States,2386507500.0
BRSP,BrightSpire Capital Inc. Class A Common Stock,Real Estate,Real Estate Investment Trusts,United States,773200316.0
BRT,BRT Apartments Corp. (MD) Common Stock,Real Estate,Real Estate Investment Trusts,United States,275052469.0
BRW,Saba Capital Income & Opportunities Fund SBI,Finance,Trusts Except Educational Religious and Charitable,United States,0.0
BRX,Brixmor Property Group Inc. Common Stock,Real Estate,Real Estate Investment Trusts,United States,9294071133.0
BSAC,Banco Santander - Chile ADS,Finance,Commercial Banks,Chile,16891839691.0
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,Finance,Commercial Banks,Brazil,47479464123.0
BSL,Blackstone Senior Floating Rate 2027 Term Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,United States,0.0
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,Energy,Oil & Gas Production,United States,3133221166.0
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,Finance,Finance Companies,United States,909689711.0
BSTZ,BlackRock Science and Technology Term Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,United States,539764739.0
BSX,Boston Scientific Corporation Common Stock,Health Care,Medical/Dental Instruments,United States,95947468782.0
BTE,Baytex Energy Corp Common Shares,Energy,Oil & Gas Production,Canada,3303564000.0
BTGO,BitGo Holdings Inc. Class A Common Stock,Finance,Finance: Consumer Services,,1200856436.0
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,Health Care, Medicinal Chemicals and Botanical Products ,United Kingdom,124081529358.0
BTO,John Hancock Financial Opportunities Fund Common Stock,Finance,Investment Managers,United States,0.0
BTT,BlackRock Municipal 2030 Target Term Trust,Finance,Investment Managers,United States,0.0
BTU,Peabody Energy Corporation Common Stock ,Energy,Coal Mining,United States,3410743642.0
BTX,BlackRock Technology and Private Equity Term Trust Common Shares of Beneficial Interest,,,United States,1729564936.0
BTZ,BlackRock Credit Allocation Income Trust,Finance,Finance Companies,United States,1126766700.0
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Consumer Staples,Beverages (Production/Distribution),Belgium,136551255544.0
BUI,BlackRock Utility Infrastructure & Power Opportunities Trust,Finance,Trusts Except Educational Religious and Charitable,United States,0.0
BUR,Burford Capital Limited Ordinary Shares,Finance,Finance: Consumer Services,,1032790710.0
BURL,Burlington Stores Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,United States,21313284529.0
BV,BrightView Holdings Inc. Common Stock,Real Estate,Real Estate,United States,1144530000.0
BVN,Buenaventura Mining Company Inc.,Basic Materials,Metal Mining,Peru,9215913469.0
BW,Babcock & Wilcox Enterprises Inc. Common Stock,Industrials,Building Products,United States,2488147396.0
BWA,BorgWarner Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,United States,10993380385.0
BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.,Finance,Finance/Investors Services,United States,0.0
BWLP,BW LPG Limited Common Shares,Consumer Discretionary,Transportation Services,,2859111900.0
BWMX,Betterware de Mexico S.A.P.I. de C.V. Ordinary Shares,Consumer Discretionary,Catalog/Specialty Distribution,Mexico,682519626.0
BWNB,Babcock & Wilcox Enterprises Inc. 6.50% Senior Notes due 2026,Industrials,Building Products,United States,2527438550.0
BWXT,BWX Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components,United States,21799056364.0
BX,Blackstone Inc. Common Stock,Finance,Investment Managers,United States,96988178711.0
BXC,Bluelinx Holdings Inc. Common Stock,Consumer Discretionary,Wholesale Distributors,United States,434780587.0
BXMT,Blackstone Mortgage Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts,United States,3409364262.0
BXP,BXP Inc. Common Stock,Real Estate,Real Estate Investment Trusts,United States,8946944117.0
BXSL,Blackstone Secured Lending Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,,0.0
BY,Byline Bancorp Inc. Common Stock,Finance,Major Banks,United States,1504036896.0
BYD,Boyd Gaming Corporation Common Stock,Consumer Discretionary,Hotels/Resorts,United States,6470909068.0
BZH,Beazer Homes USA Inc. Common Stock,Consumer Discretionary,Homebuilding,United States,646936722.0
C,Citigroup Inc. Common Stock,Finance,Major Banks,United States,230204366442.0
CAAP,Corporacion America Airports SA Common Shares,Consumer Discretionary,Aerospace,,4361785454.0
CABO,Cable One Inc. Common Stock,Telecommunications,Cable & Other Pay Television Services,United States,558936814.0
CACI,CACI International Inc. Class A Common Stock,Technology,EDP Services,United States,11788281873.0
CAE,CAE Inc. Ordinary Shares,Miscellaneous,Industrial Machinery/Components,Canada,8917223838.0
CAF,Morgan Stanley China A Share Fund Inc. Common Stock,Finance,Investment Managers,United States,0.0
CAG,ConAgra Brands Inc. Common Stock,Consumer Staples,Packaged Foods,United States,6942123134.0
CAH,Cardinal Health Inc. Common Stock,Health Care,Other Pharmaceuticals,United States,50061129244.0
CAL,Caleres Inc. Common Stock,Consumer Discretionary,Shoe Manufacturing,United States,445533076.0
CALX,Calix Inc Common Stock,Consumer Discretionary,Telecommunications Equipment,United States,3218845190.0
CALY,Callaway Golf Company Common Stock,Consumer Discretionary,Recreational Games/Products/Toys,United States,2570593979.0
CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,Energy,Oil Refining/Marketing,United States,810370408.0
CARR,Carrier Global Corporation Common Stock ,Industrials,Industrial Machinery/Components,United States,49732710979.0
CARS,Cars.com Inc. Common Stock ,Technology,EDP Services,United States,609822335.0
CAT,Caterpillar Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks,United States,355660983707.0
CATO,Cato Corporation (The) Class A Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,United States,58219552.0
CAVA,CAVA Group Inc. Common Stock,Consumer Discretionary,Restaurants,United States,10448977631.0
CB,Chubb Limited  Common Stock,Finance,Property-Casualty Insurers,Switzerland,128057558157.0
CBAN,Colony Bankcorp Inc. Common Stock,Finance,Major Banks,United States,443434299.0
CBL,CBL & Associates Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts,United States,1303465367.0
CBNA,Chain Bridge Bancorp Inc. Class A Common Stock,Finance,Major Banks,,236947212.0
CBRE,CBRE Group Inc Common Stock Class A,Finance,Real Estate,United States,43551920930.0
CBT,Cabot Corporation Common Stock,Industrials,Major Chemicals,United States,3861004292.0
CBU,Community Financial System Inc. Common Stock,Finance,Major Banks,United States,3236849484.0
CBZ,CBIZ Inc. Common Stock,Real Estate,Real Estate,United States,1682239757.0
CC,Chemours Company (The) Common Stock,Industrials,Major Chemicals,United States,3514104667.0
CCI,Crown Castle Inc. Common Stock,Real Estate,Real Estate Investment Trusts,United States,37702138694.0
CCID,Carlyle Credit Income Fund 7.375% Series D Term Preferred Shares due 2028,,,,0.0
CCIF,Carlyle Credit Income Fund Shares of Beneficial Interest,Finance,Finance/Investors Services,,0.0
CCJ,Cameco Corporation Common Stock,Basic Materials,Other Metals and Minerals,Canada,53121957327.0
